id,name,artists,album,album_id,album_artists,album_release_date,duration_ms,popularity,explicit,track_number,disc_number,is_local,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,['Post Malone'],2019-09-06,157560,84,False,12,1,False,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
21jGcNKet2qwijlDFuPiPb,Circles,['Post Malone'],Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,['Post Malone'],2019-09-06,215280,88,False,6,1,False,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,['Post Malone'],2018-04-27,218146,86,True,6,1,False,0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,4
2d1Cueue1dsedDOGNdaLDh,Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",The Diamond Collection,1DsM0AOBGPPIDp0gWN8Zb4,['Post Malone'],2023-04-21,221446,52,True,5,1,False,2d1Cueue1dsedDOGNdaLDh,0.743,0.55,8,-7.937,1,0.129,0.602,0,0.113,0.42,140.059,4
5TOgxgZrIZzvaKg9r2bvc2,Chemical,['Post Malone'],The Diamond Collection,1DsM0AOBGPPIDp0gWN8Zb4,['Post Malone'],2023-04-21,184013,71,True,9,1,False,5TOgxgZrIZzvaKg9r2bvc2,0.49,0.894,2,-4.929,1,0.0431,0.00121,0,0.115,0.38,169.908,4
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,['Halsey'],Manic,68enXe5XcJdciSDAZr0Alr,['Halsey'],2020-01-17,201660,83,True,9,1,False,6FZDfxM3a3UCqtzo5pxSLZ,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4
12Fkyg9lpmaz2zmKOfw2Y2,On The Road (feat. Meek Mill & Lil Baby),"['Post Malone', 'Meek Mill', 'Lil Baby']",Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,['Post Malone'],2019-09-06,218320,70,True,8,1,False,12Fkyg9lpmaz2zmKOfw2Y2,0.442,0.737,7,-5.046,1,0.109,0.0589,0,0.102,0.21,112.93,5
6MIRsc0hGXQBcz5M40xS2Y,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","['DJ Khaled', 'Post Malone', 'DaBaby', 'Megan Thee Stallion', 'Lil Baby']","I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",4GazdYVJNhpJCUfBi0QZXE,"['DJ Khaled', 'Post Malone', 'DaBaby']",2021-04-28,165366,48,True,1,1,False,6MIRsc0hGXQBcz5M40xS2Y,0.757,0.721,4,-2.906,0,0.0691,0.00196,0,0.647,0.364,124.036,4
0MrRAUcB8AZiB9ue2VOBYe,Sugar Wraith,['Post Malone'],beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,['Post Malone'],2018-04-27,228146,65,True,18,1,False,0MrRAUcB8AZiB9ue2VOBYe,0.606,0.775,5,-4.269,0,0.0671,0.262,0,0.1,0.307,164.02,4
02opp1cycqiFNDpLd2o1J3,Big Lie,['Post Malone'],Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC,['Post Malone'],2016-12-09,207680,63,True,2,1,False,02opp1cycqiFNDpLd2o1J3,0.442,0.684,6,-4.888,0,0.168,0.191,0,0.0725,0.218,170.861,4
7MTIDmToGs0I5Oue9V0CHl,Feel,"['Post Malone', 'Kehlani']",Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC,['Post Malone'],2016-12-09,197120,63,True,10,1,False,7MTIDmToGs0I5Oue9V0CHl,0.497,0.507,5,-8.075,0,0.0585,0.214,4.79e-06,0.0948,0.192,119.432,4
09IOPhEh1OMe0HD9b36FJk,Over Now,['Post Malone'],beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,['Post Malone'],2018-04-27,246986,69,True,7,1,False,09IOPhEh1OMe0HD9b36FJk,0.569,0.777,4,-4.041,0,0.0834,0.139,0,0.132,0.181,164.027,4
6WwzdsP1Y1bb4NYXpgn5CD,TMO (Turn Me On) [feat. Kevin Lyttle],"['Luude', 'Bru-C', 'Kevin Lyttle']",TMO (Turn Me On) [feat. Kevin Lyttle],3RYTWuCl3BNAJSUkIo8Wnv,"['Luude', 'Bru-C', 'Kevin Lyttle']",2023-04-27,159161,67,False,1,1,False,6WwzdsP1Y1bb4NYXpgn5CD,0.503,0.915,1,-2.488,0,0.136,0.128,0,0.227,0.763,179.002,4
6zRBNkFmcNLgb3mOLmUK8i,Summer Nights,"['SIAMES', 'Barbie Williams']",HOME,54Tu4voMoq7IC5lEAFiOsn,['SIAMES'],2020-03-13,215500,56,False,4,1,False,6zRBNkFmcNLgb3mOLmUK8i,0.615,0.812,9,-4.514,0,0.0325,0.000641,0.0046,0.122,0.4,99.997,4
1ZreCbCSHpRcvqYpXlxnYC,The Wolf,['SIAMES'],Bounce Into The Music,4awqk2I0x3WC8XjNBNxvcI,['SIAMES'],2016-08-02,186945,65,False,2,1,False,1ZreCbCSHpRcvqYpXlxnYC,0.544,0.742,8,-5.117,1,0.0283,0.000633,0.000392,0.207,0.659,96.012,4
48XkVAagIoQHCsOlJtXUd5,still feel.,['half•alive'],"Now, Not Yet",2KSWrd22LGc0Hmqs2Z5i7z,['half•alive'],2019-08-09,247786,66,False,5,1,False,48XkVAagIoQHCsOlJtXUd5,0.779,0.516,10,-6.467,0,0.0521,0.148,0,0.0492,0.715,120.026,4
6kcHg7XL6SKyPNd78daRBL,Sweet Talk,['Saint Motel'],saintmotelevision,43URJ507cdoIRy3GJdfxjs,['Saint Motel'],2016-10-21,192040,68,False,5,1,False,6kcHg7XL6SKyPNd78daRBL,0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,4
1vxCTGgZMs4LFCAlswRiS2,Emotions,['Desired'],Best Before 1998,4MeikwvA8AgiIEPqIaGBxC,['Desired'],2020-02-21,178064,40,False,3,1,False,1vxCTGgZMs4LFCAlswRiS2,0.702,0.963,6,-4.583,1,0.214,0.000311,0.0468,0.227,0.797,123.968,4
6cKRYvLYUbAOfjJDfslIXy,Jump,"['League of Legends', ""Snail's House""]",Sessions: Star Guardian Taliyah,5a3R3wxx4SURufgfrgxwdV,['League of Legends'],2022-07-11,185103,42,False,3,1,False,6cKRYvLYUbAOfjJDfslIXy,0.547,0.67,8,-7.274,1,0.0958,0.00038,0.184,0.0992,0.49,178.084,4
21GpEWUd7UXo5pbtLHbAax,Restart!,"[""Snail's House""]",Restart!,7iDmGjmDlFkuX3dewHD5Fq,"[""Snail's House""]",2022-10-23,221468,37,False,1,1,False,21GpEWUd7UXo5pbtLHbAax,0.379,0.905,2,-4.72,1,0.0543,0.00147,0.259,0.438,0.271,127.798,4
5XTT4gcZH5tGYlM9LxN6wZ,SAY WHAT YOU WANT,['dark cat'],SAY WHAT YOU WANT,0ekhkogsolFkWm0UPhFxzm,['dark cat'],2022-08-22,201620,29,False,1,1,False,5XTT4gcZH5tGYlM9LxN6wZ,0.624,0.471,7,-13.483,1,0.0593,0.0401,0.827,0.107,0.225,124.986,4
0z0Jk2tf1N49VjNaEl23pu,Sunny Side,['Trifect'],Sunny Side,0ELXuSX3crlKDQ44Eg9DMF,['Trifect'],2022-08-19,254369,22,False,1,1,False,0z0Jk2tf1N49VjNaEl23pu,0.741,0.651,0,-9.044,1,0.05,0.0169,0.805,0.123,0.522,116.999,4
